,Point,Quad No.,Species,Common name,Diametre/centimetre,Point to plant/metre,Basal area covered,Basal area covered/centimetre^2
0,1,1,,American beech ,13.5,2.1,,143.13881527918494
1,1,2,,Red maple,16.0,4.2,,201.06192982974676
2,1,3,,American beech ,12.5,2.0,,122.7184630308513
3,1,4,,Red maple,24.5,5.9,,471.43524757931834
4,2,1,,Sugar maple,18.0,5.0,,254.46900494077323
5,2,2,,Northern red oak,17.5,4.4,,240.52818754046854
6,2,3,,Sugar maple,22.5,2.26,,397.60782021995817
7,2,4,,Eastern hemlock,28.5,2.17,,637.9396582195774
8,3,1,,Northern red oak,45.0,4.5,,1590.4312808798327
9,3,2,,Red maple,41.3,1.0,,1339.6457933253935
10,3,3,,American beech ,12.8,3.48,,128.67963509103794
11,3,4,,Northern red oak,45.7,6.9,,1640.296210273937
12,4,1,,Hemlock,51.0,8.1,,2042.820622996763
13,4,2,,Hemlock,57.0,3.8,,2551.7586328783095
14,4,3,,Hemlock,51.0,9.6,,2042.820622996763
15,4,4,,Hemlock,41.0,9.6,,1320.2543126711105
16,5,1,,Hemlock,64.0,6.2,,3216.990877275948
17,5,2,,White spruce,33.0,3.9,,855.2985999398212
18,5,3,,White spruce,29.0,3.9,,660.519855417254
19,5,4,,White spruce,19.0,4.1,,283.5287369864788
20,6,1,,Red spruce,19.0,2.2,,283.5287369864788
21,6,2,,Northern red oak,28.0,1.9,,615.7521601035994
22,6,3,,Hemlock,63.0,4.1,,3117.245310524472
23,6,4,,Red maple,40.5,8.2,,1288.2493375126646
24,7,1,,Hemlock,13.0,1.0,,132.73228961416876
25,7,2,,Hemlock,50.5,2.1,,2002.9616662043425
26,7,3,,Hemlock,29.0,1.6,,660.519855417254
27,7,4,,Sugar maple,12.8,2.8,,128.67963509103794
28,8,1,,Sugar maple,22.0,5.3,,380.132711084365
29,8,2,,Northern red oak,50.0,10.9,,1963.4954084936207
30,8,3,,Hemlock,59.0,7.2,,2733.9710067865176
31,8,4,,Sugar maple,13.0,4.0,,132.73228961416876
32,9,1,,Sugar maple,21.5,0.2,,363.05030103047045
33,9,2,,Hemlock,53.0,3.8,,2206.1834409834323
34,9,3,,Red maple,20.0,2.5,,314.1592653589793
35,9,4,,American beech ,19.0,2.7,,283.5287369864788
36,10,1,,Hemlock,31.5,3.5,,779.311327631118
37,10,2,,American beech ,35.0,9.4,,962.1127501618741
38,10,3,,Paper birch,23.0,8.3,,415.4756284372501
39,10,4,,Red maple,36.0,3.8,,1017.8760197630929
